Type,System_variable_name,Custom_variable_name,Text,Characteristic,Value_labels,Color_Category,Comments,,
Formulierung,-,F3B,"For the following questions, please choose exactly one answer that you think is correct.",-,,Green,Formulierung,,
,Q6A1_1,F3B1,How many Jews live in the United States?,"1,2,3,4,5,6","less than 0.5%,between 0.5% and 2%,between 2% and 5%,between 5% and 15%,between 15% and 25%,I don't know",Green,Corrected: Custom_variable_name,,
,Q6A2_1,F3B2,How many Muslims live in the United States?,"1,2,3,4,5,6","less than 0.5%,between 0.5% and 2%,between 2% and 5%,between 5% and 15%,between 15% and 25%,I don't know",Green,Corrected: Custom_variable_name,,
,Q6A3_1,F3B3,"For Jews, the greatest threat comes from the following part of society:","1,2,3,4,5,6","The Left,The Right,Muslims,Society as a whole,I don't know",Green,Corrected: Custom_variable_name,,
,Q7_question,,There is a debate on which role different countries play in the Ukraine war. Please indicate for each state/actor whether you think it is more likely that they contribute to the resolution of the Ukraine war or its escalation.,-,,Yellow,,,
,,F3_USA,"There is a debate on which role different countries play in the Ukraine war. Please indicate whether you think ""USA""  is more likely that they contribute to the resolution of the Ukraine war or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Yellow,Corrected: Value_labels and Custom_variable_name,,
,,F3_CHINA,"There is a debate on which role different countries play in the Ukraine war. Please indicate whether you think ""China""  is more likely that they contribute to the resolution of the Ukraine war or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Yellow,Corrected: Value_labels.,,
,,F3_Deutschland,"There is a debate on which role different countries play in the Ukraine war. Please indicate whether you think ""Germany""  is more likely that they contribute to the resolution of the Ukraine war or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Yellow,Corrected: Value_labels.,,
,,F3_Russland,"There is a debate on which role different countries play in the Ukraine war. Please indicate whether you think ""Russia""  is more likely that they contribute to the resolution of the Ukraine war or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Yellow,Corrected: Value_labels.,,
,,F3_Ukraine,"There is a debate on which role different countries play in the Ukraine war. Please indicate whether you think ""Ukraine""  is more likely that they contribute to the resolution of the Ukraine war or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Yellow,Corrected: Value_labels.,,
,,F3_EU,"There is a debate on which role different countries play in the Ukraine war. Please indicate whether you think ""EU""  is more likely that they contribute to the resolution of the Ukraine war or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Yellow,Corrected: Value_labels.,,
,,F3_NATO,"There is a debate on which role different countries play in the Ukraine war. Please indicate whether you think ""NATO""  is more likely that they contribute to the resolution of the Ukraine war or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Yellow,Corrected: Value_labels.,,
,,,There is a debate on which role different countries play in the Arab-Israeli conflict war. Please indicate for each state/actor whether you think it is more likely that they contribute to the resolution of the Arab-Israeli conflict or its escalation.,-,,Green,,,
,,F3B_Hamas,"There is a debate on which role different countries play in the Arab-Israeli conflict war. Please indicate whether you think ""Hamas"" is more likely that they contribute to the resolution of the Arab-Israeli conflict or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Green,Corrected: Value_labels.,,
,,F3B_Israel,"There is a debate on which role different countries play in the Arab-Israeli conflict war. Please indicate whether you think ""Israel"" is more likely that they contribute to the resolution of the Arab-Israeli conflict or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Green,Corrected: Value_labels.,,
,,F3B_Deutschland,"There is a debate on which role different countries play in the Arab-Israeli conflict war. Please indicate whether you think ""Germany"" is more likely that they contribute to the resolution of the Arab-Israeli conflict or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Green,Corrected: Value_labels.,,
,,F3B_USA,"There is a debate on which role different countries play in the Arab-Israeli conflict war. Please indicate whether you think ""USA"" is more likely that they contribute to the resolution of the Arab-Israeli conflict or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Green,Corrected: Value_labels.,,
,,F3B_UN,"There is a debate on which role different countries play in the Arab-Israeli conflict war. Please indicate whether you think ""United Nations"" is more likely that they contribute to the resolution of the Arab-Israeli conflict or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Green,Corrected: Value_labels.,,
,,F3B_Iran,"There is a debate on which role different countries play in the Arab-Israeli conflict war. Please indicate whether you think ""Iran"" is more likely that they contribute to the resolution of the Arab-Israeli conflict or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Green,Corrected: Value_labels.,,
,,F3B_Katar,"There is a debate on which role different countries play in the Arab-Israeli conflict war. Please indicate whether you think ""Qatar"" is more likely that they contribute to the resolution of the Arab-Israeli conflict or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Green,Corrected: Value_labels.,,
rating,-,F5,Please take a look at the list below. How much trust do you have in each of the institutions mentioned?,-,,Grey,,,
,Q10A1_1,F5A1_1,How much trust do you have in the institution: The church ? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A2_1,F5A2_1,How much trust do you have in the institution: The Armed Forces? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A3_1,F5A3_1,How much trust do you have in the institution: The police ? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A4_1,F5A4_1,How much trust do you have in the institution: Congress ? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A5_1,F5A5_1,How much trust do you have in the institution: Presidency? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A6_1,F5A6_1,How much trust do you have in the institution: Supreme Court? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A7_1,F5A7_1,How much trust do you have in the institution: The government? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A8_1,F5A8_1,How much trust do you have in the institution: The legal system? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A9_1,F5A9_1,How much trust do you have in the institution: The public administration? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A10_1,F5A10_1,How much trust do you have in the institution: The health system? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A11_1,F5A11_1,How much trust do you have in the institution: The political parties? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A11_2,F5A11_2,How much trust do you have in the institution: Stock markets? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",Yellow,,,
,Q10A12_1,F5A12_1,How much trust do you have in the institution: The press and the newspapers? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A13_1,F5A13_1,How much trust do you have in the institution: Public television? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A14_1,F5A14_1,How much trust do you have in the institution: Private television stations? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A15_1,F5A15_1,How much trust do you have in the institution: Classic news sites on the Internet (e.g. nytimes.com or washingtonpost.com)? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A16_1,F5A16_1,"How much trust do you have in the institution: Social media (e.g. Twitter, Facebook, Telegram)? ","1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
rating,-,F5a,"How often do you get news from sources, such as...? ",-,,Grey,,,
,Q11A1_1,F5aA1_1,"How often do you get news from sources, such as: public media institutions (National Public Radio (NPR), Public Broadcasting Service (PBS), and local public broadcasting services)? ","1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,,,
,Q11A2_1,F5aA2_1,"How often do you get news from sources, such as: from privately established media companies  (Fox Broadcasting Company (FOX), American Broadcasting Company (abc), National Broadcasting Company (NBC), The Wall Street Journal, New York Times, USA Today) ","1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,,,
,Q11A3_1,F5aA3_1,"How often do you get news from sources, such as: from alternative providers (newsbloggers, social media influencers, etc) ","1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,,,
rating,-,F5b,What channels do you use to access this? ,-,,Grey,,,
,Q12A1_1,F5bA1_1,How much do you access: Websites and news apps ?,"1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,,,
,Q12A2_1,F5bA2_1,"How much do you access: Social media (Facebook, Instagram, Youtube, Twitter, TikTok, etc.)?","1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,,,
,Q12A3_1,F5bA3_1,"How much do you access: Messenger services (WhatsApp, Telegram, Facebook Messenger, Threema)?","1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,,,
,Q12A4_1,F5bA4_1,How much do you access: Television?,"1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,,,
,Q12A5_1,F5bA5_1,How much do you access: Radio and podcasts?,"1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,,,
,Q12A6_1,F5bA6_1,How much do you access: Print media?,"1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,,,
rating,-,F5c,"Below you will again see a series of statements. For each statement, please indicate how much you agree or disagree with it.",-,,Green,,,
,Q19A1_1,F5cA1_1,"For the statement, please indicate how much you agree or disagree with it. ""Artificial intelligence has a negative impact on content on social media.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",Green,,,
,Q19A2_1,F5cA2_1,"For the statement, please indicate how much you agree or disagree with it. ""I encounter disinformation in my everyday life.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",Green,,,
table,-,F6a_DemParty,The following questions relate to political parties in the US. For Democratic Party indicate how good or bad you think this party is.,-,,Grey,,,
,Q14A1,F6a_DemPartyA1,The following questions relate to political parties in the US. For Democratic Party indicate how good or bad you think this party is. ,"1,2,3,4,5,6,7,8,9,10,11",1-Very Bad to 11-Very Good,,Corrected: Value_labels.,,
,Q14A2,F6a_DemPartyA2,The following questions relate to political parties in the US. For Democratic Party indicate how good or bad you think this party is. ,1,I don't know this party,,,,
table,-,F6a_RepParty,"The following questions relate to political parties in the US. For Republican Party, indicate how good or bad you think this party is. ",-,,Grey,,,
,Q15A1,F6a_RepPartyA1,"The following questions relate to political parties in the US. For Republican Party, indicate how good or bad you think this party is. ","1,2,3,4,5,6,7,8,9,10,11",1-Very Bad to 11-Very Good,,Corrected: Value_labels.,,
,Q15A2,F6a_RepPartyA2,"The following questions relate to political parties in the US. For Republican Party, indicate how good or bad you think this party is. ",1,I don't know this party,,,,
table,-,F6b_DemParty,"In politics, there is often talk of right and left. Where would you rank the Democratic Party on this scale?",-,,Grey,,,
,Q17A1,F6b_DemPartyA1,"In politics, there is often talk of right and left. Where would you rank the Democratic Party on this scale?","1,2,3,4,5,6,7,8,9,10,11",1-Left to 11-Right,,Corrected: Value_labels.,,
,Q17A2,F6b_DemPartyA2,"In politics, there is often talk of right and left. Where would you rank the Democratic Party on this scale?",1,I don't know this party,,,,
table,-,F6b_RepParty,"In politics, there is often talk of right and left. Where would you rank the Republican Party on this scale?",-,,Grey,,,
,Q18A1,F6b_RepPartyA1,"In politics, there is often talk of right and left. Where would you rank the Republican Party on this scale?","1,2,3,4,5,6,7,8,9,10,11",1-Left to 11-Right,,Corrected: Value_labels.,,
,Q18A2,F6b_RepPartyA2,"In politics, there is often talk of right and left. Where would you rank the Republican Party on this scale?",1,I don't know this party,,,,
rating,-,F6m,Where would you place your own political position?,-,,Grey,,,
,Q19A1_1,F6mA1_1,Where would you place your own political position?,"1,2,3,4,5,6,7,8,9,10,11",1-Left to 11-Right,,Corrected: Value_labels.,,
single,Q20,F7a,What gender are you?,"1,2,3,4","Male,Female,Non-binary,I don't want to say",,,,
input,-,F7b,Please enter your 5-digit ZIP code.,-,,Grey,,,
,Q21A1,F7bA1,Enter your 5-digit Zip code.,-,,,,,
input,-,F7c,In which year were you born?,-,,Grey,,,
,Q22A1,F7cA1,"In which year were you born?, Enter a 4-digit number between 1910 and 2010.","1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010",1910 to 2010,,,,
single,Q23,F7d,Were you born in the US?,"1,2","Yes,No",,,,
single,Q24,F7e,Was your mother born in the US?,"1,2","Yes,No",,,,
single,Q25,F7f,Was your father born in the US?,"1,2","Yes,No",,,,
single,Q26,einkommen,"What is your approximate yearly household net income? Please indicate which category your household is in if you add together the monthly net income of all household members: All wages, salaries, pensions and other incomes after payroll taxes e.g. social security (OASDI), medicare taxes, unemployment taxes. ","1,2,3,4,5,6,7","Less than $10000,$10000 to $24999,$25000 to 49999,$50000 to 74999,$75000 to 99999,$100000 to 149999,$150000 and greater",,,,
single,Q27,F7g,What is the highest educational level that you have?,"1,2,3,4,5,6,7,8,9","Early childhood education / no education,Primary education,Lower secondary education,Upper secondary education,Post secondary non-tertiary education,Short-cycle tertiary education,Bachelor or equivalent,Master or equivalent,Doctoral or equivalent",,,,
single,Q28,F7h,What is your employment status? ,"1,2,3,4,5,6,7,8","Full time employee (30 hours a week or more),Part time employee (less than 30 hours a week),Self employed,Retired/pensioned,Housewife/househusband not otherwise employed,Student,Unemployed,Other",,,,
single,Q29,F7i,What is your marital status?,"1,2,3,4,5,6,7","Married,Registered civil partnership,Widowed,Separated from partner,Single/never married/never in a registered civil partnership,I don't know,No answer",,,,
input,-,F7j,"How many people live in your household, including yourself?",-,,Grey,,,
,Q30A1,F7jA1,"How many people live in your household, including yourself?",-,,,,,
input,-,F7k,How many children live in your household?,-,,Grey,,,
,Q31A1,F7kA1,How many children live in your household?,-,,,,,
single,Q32,F7lA1,Which religious community do you belong to?,"1,2,3,4,5,6,7,8,9","Roman Catholic,Protestant,Orthodox (Russian/Greek/etc.),Jew,Muslim,Hindu,Buddhist,Other,None",,Change the column name from F7l to F7lA1,,
single,Q33,F7mA1,To which of the following occupational groups do you belong?,"1,2,3,4,5,6,7,8,9,10,11,12,13,14","Professional and technical (for example: doctor/ teacher/ engineer/ artist/ accountant),Higher administrative (for example: banker/ executive in big business/ high government official/ union official),Clerical (for example: secretary/ clerk/ office manager/ civil servant/ bookkeeper),Sales (for example: sales manager/ shop owner/ shop assistant/ insurance agent/ buyer),Service in health/ medical and nursing care (for example: nurse/ caretaker),Other Service (for example: restaurant owner/ police officer/ waitress/ barber),Skilled worker (for example: foreman/ motor mechanic/ printer/ seamstress/ tool and die maker/ electrician),Semi-skilled worker (for example: bricklayer/ bus driver/ cannery worker/ carpenter/ sheet metal worker/ baker),Unskilled worker (for example: laborer/ porter/ unskilled factory worker/ cleaner),Farm worker (for example: farm laborer/ tractor driver),Farm proprietor/ farm manager,Student,Never had a job,No answer",,Change the column name from F7m to F7mA1,,
single,Q34,F7n,Which ethnic group do you belong to? ,"1,2,3,4,5,6,7,8,9,10","White,Hispanic and Latino,Black or African American,South Asian Indian/ Pakistani/ etc.,East Asian Chinese/ Japanese/ etc.,Arabic/ Central Asian,Native American or Alaska Native,Native Hawaiian or Other Pacific Islanders,Some other race,Two or more races",,,,
